                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.7351,                 1.3393,                  1.307,                 0.4335,                0.26612,                0.26513,                0.09658,                 2.3445,                 1.8627,                 1.1754,               0.004951,               0.004951,               0.004951
                     53,                 1.7266,                 1.3419,                 1.3005,                0.49794,                0.27514,                 0.2947,                0.10889,                   2.32,                 1.7516,                 1.1531,               0.004852,               0.004852,               0.004852
                     54,                 1.7203,                 1.3332,                 1.2947,                0.46144,                0.27235,                0.27863,                0.10392,                 2.3159,                 1.8687,                 1.1605,               0.004753,               0.004753,               0.004753
                     55,                 1.7268,                 1.3376,                 1.3018,                0.46968,                0.30447,                0.29639,                0.11342,                 2.2771,                 1.7574,                 1.1442,               0.004654,               0.004654,               0.004654
                     56,                 1.7126,                 1.3086,                 1.2885,                0.41112,                0.29056,                0.27994,                0.10254,                 2.3598,                 1.7909,                 1.1477,               0.004555,               0.004555,               0.004555
                     57,                 1.7163,                 1.2986,                 1.2879,                0.40581,                0.31006,                0.27822,                0.09778,                 2.3298,                 1.8651,                 1.1595,               0.004456,               0.004456,               0.004456
                     58,                 1.6984,                 1.2955,                 1.2914,                0.41956,                0.29749,                0.28562,                0.10504,                 2.2923,                 1.7986,                  1.147,               0.004357,               0.004357,               0.004357
                     59,                  1.678,                 1.2776,                 1.2694,                0.47881,                0.29888,                0.30576,                0.11844,                 2.2628,                 1.7125,                 1.1188,               0.004258,               0.004258,               0.004258
                     60,                 1.6811,                 1.2736,                 1.2699,                0.50132,                0.28643,                0.30339,                0.11626,                 2.2611,                 1.7028,                  1.144,               0.004159,               0.004159,               0.004159
                     61,                 1.6968,                 1.2879,                 1.2802,                0.42102,                0.28492,                0.27707,                0.11063,                 2.2598,                  1.723,                 1.1652,                0.00406,                0.00406,                0.00406
                     62,                 1.6921,                 1.2664,                 1.2702,                 0.4334,                 0.2933,                0.27213,                 0.1031,                  2.306,                 1.7204,                 1.1575,               0.003961,               0.003961,               0.003961
                     63,                 1.6777,                 1.2571,                 1.2596,                0.38974,                 0.2919,                0.27854,                0.10546,                 2.3153,                 1.7702,                 1.1779,               0.003862,               0.003862,               0.003862
                     64,                 1.6778,                 1.2564,                 1.2716,                 0.4561,                0.31388,                0.30223,                0.11397,                 2.2731,                 1.7082,                 1.1417,               0.003763,               0.003763,               0.003763
                     65,                 1.6585,                 1.2368,                 1.2628,                0.48093,                 0.2905,                0.28282,                0.10092,                 2.3857,                  1.743,                 1.1956,               0.003664,               0.003664,               0.003664
                     66,                 1.6651,                 1.2357,                 1.2603,                0.50314,                0.28771,                0.31386,                0.12024,                 2.2672,                 1.7278,                 1.1333,               0.003565,               0.003565,               0.003565
                     67,                 1.6374,                 1.2114,                 1.2539,                0.47054,                 0.2905,                0.29529,                 0.1089,                 2.3156,                 1.7799,                  1.157,               0.003466,               0.003466,               0.003466
                     68,                 1.6399,                 1.2104,                 1.2535,                0.48434,                 0.2919,                0.30852,                0.12016,                 2.2468,                 1.7878,                 1.1368,               0.003367,               0.003367,               0.003367
                     69,                 1.6393,                  1.206,                 1.2504,                0.46545,                0.26389,                0.26484,                0.09702,                 2.3491,                 1.8636,                 1.1718,               0.003268,               0.003268,               0.003268
                     70,                 1.6332,                 1.1838,                 1.2397,                 0.4287,                0.28507,                0.27155,                0.09805,                 2.3672,                 1.7665,                 1.1794,               0.003169,               0.003169,               0.003169
                     71,                 1.6362,                 1.1872,                 1.2507,                 0.4774,                0.32534,                0.31229,                 0.1118,                 2.3528,                 1.7014,                 1.1667,                0.00307,                0.00307,                0.00307
                     72,                  1.626,                 1.1929,                 1.2428,                0.46506,                0.28212,                0.28139,                0.09862,                  2.394,                 1.7458,                 1.1763,               0.002971,               0.002971,               0.002971
                     73,                 1.6488,                 1.1943,                 1.2476,                0.42111,                0.31006,                0.28858,                0.10612,                 2.3599,                 1.7649,                 1.1659,               0.002872,               0.002872,               0.002872
                     74,                   1.62,                 1.1656,                 1.2399,                0.49535,                0.31564,                0.31608,                0.11764,                 2.3332,                 1.7329,                  1.169,               0.002773,               0.002773,               0.002773
                     75,                 1.6001,                 1.1502,                 1.2245,                0.48325,                0.31425,                0.31101,                0.11211,                  2.326,                 1.7243,                 1.1425,               0.002674,               0.002674,               0.002674
                     76,                 1.6035,                 1.1485,                 1.2232,                0.50978,                0.31145,                0.31042,                0.11322,                 2.3016,                 1.7451,                 1.1292,               0.002575,               0.002575,               0.002575
                     77,                 1.6042,                 1.1447,                 1.2192,                 0.4644,                 0.2933,                0.28594,                0.10452,                 2.3489,                  1.772,                 1.1819,               0.002476,               0.002476,               0.002476
                     78,                  1.605,                 1.1432,                 1.2238,                0.42966,                0.30587,                0.28406,                0.10696,                  2.306,                  1.723,                 1.1603,               0.002377,               0.002377,               0.002377
                     79,                 1.6022,                  1.147,                 1.2218,                0.45949,                0.31704,                0.30061,                0.11306,                 2.2925,                 1.6976,                 1.1445,               0.002278,               0.002278,               0.002278
                     80,                 1.5907,                 1.1278,                 1.2214,                0.46394,                0.30447,                 0.2905,                0.10368,                 2.3309,                 1.6966,                 1.1629,               0.002179,               0.002179,               0.002179
                     81,                 1.5866,                 1.1187,                 1.2134,                0.45717,                0.33939,                0.31225,                0.11578,                 2.2814,                 1.6645,                 1.1506,                0.00208,                0.00208,                0.00208
                     82,                 1.5707,                 1.0976,                 1.2025,                0.45653,                0.32263,                0.30428,                0.11135,                 2.2824,                 1.6922,                 1.1473,               0.001981,               0.001981,               0.001981
